sale_id,store_id,employee_id,product_id,customer_id,quantity,sale_date,unit_price,discount_pct,payment_method,notes,promo_code,cost_price,sales_amount,cost_amount,profit,margin_pct
114,11,12,2655,278,1,24/10/2024,49.05,26.9,Cash,Promo code WELCOME15 applied at checkout,CODE,20.06,49.05,20.06,28.99,59.102956167176345
117,12,93,646,4,2,11/12/2024,254.91,3.6,Credit Card,,,158.13,509.82,316.26,193.56,37.966341061551134
121,11,64,945,87,2,29/12/2024,286.62,26.0,Debit Card,,,143.56,573.24,287.12,286.12,49.91277649849975
122,10,101,1642,734,2,22/06/2025,94.46,25.8,Cash,,,48.07,188.92,96.14,92.77999999999999,49.11073470251958
124,11,64,2757,793,2,14/11/2025,86.9,23.9,Cash,,,56.88,173.8,113.76,60.040000000000006,34.54545454545455
134,9,111,4746,172,3,21/05/2025,37.73,11.8,Debit Card,,,20.15,113.19,60.449999999999996,52.74,46.59422210442619
140,10,38,2603,174,1,20/11/2024,138.18,30.1,Debit Card,Promo code SEASON25 applied at checkout,CODE,75.05,138.18,75.05,63.13000000000001,45.686785352438854
143,10,117,1873,1225,1,21/02/2025,130.47,28.3,Credit Card,Price matched to competitor flyer,,91.93,130.47,91.93,38.53999999999999,29.539357706752504
146,12,108,3691,150,2,19/09/2025,104.89,8.7,Debit Card,,,59.27,209.78,118.54,91.24,43.4931833349223
149,10,71,4504,382,4,31/03/2025,109.51,28.4,Credit Card,,,44.57,438.04,178.28,259.76,59.30052050041091
150,10,38,2688,1232,1,02/04/2025,164.33,23.7,Credit Card,,,64.13,164.33,64.13,100.20000000000002,60.97486764437413
158,9,111,461,107,3,27/07/2025,57.51,3.2,Debit Card,,,74.66,172.53,223.98,-51.44999999999999,-29.820900712919485
171,12,100,4465,174,5,21/09/2025,209.9,6.5,Debit Card,,,84.29,1049.5,421.45000000000005,628.05,59.842782277274885
172,9,25,1807,231,4,29/10/2025,46.18,7.0,Cash,,,17.74,184.72,70.96,113.76,61.58510177566047
173,9,51,4233,238,4,25/02/2025,169.21,11.6,Cash,,,86.81,676.84,347.24,329.6,48.696885526860115
175,12,18,2070,266,3,12/03/2025,58.84,5.5,Credit Card,Price matched to competitor flyer,,28.14,176.52,84.42,92.10000000000001,52.175390890550645
182,11,12,1664,25,4,15/11/2024,200.07,32.4,Cash,Loyalty tier discount applied,,78.6,800.28,314.4,485.88,60.7137501874344
183,9,111,4954,74,3,26/10/2025,155.85,8.1,Credit Card,Promo code LOYALTY20 applied at checkout,CODE,104.29,467.54999999999995,312.87,154.67999999999995,33.08309271735643
185,11,63,3003,177,1,18/10/2024,212.08,30.1,Credit Card,,,134.14,212.08,134.14,77.94000000000003,36.75028291210865
195,10,90,606,95,2,19/10/2024,119.69,25.2,Credit Card,,,83.22,239.38,166.44,72.94,30.470381819700894
200,9,111,430,103,1,21/10/2024,141.68,5.7,Debit Card,,,67.6,141.68,67.6,74.08000000000001,52.28684359119142
201,12,108,2772,74,1,25/02/2025,274.94,6.0,Debit Card,,,135.86,274.94,135.86,139.07999999999998,50.58558230886738
203,12,60,364,34,4,01/10/2024,46.25,3.4,Online,,,17.09,185.0,68.36,116.64,63.04864864864865
210,10,87,3343,50,2,29/12/2024,86.21,27.7,Credit Card,,,51.74,172.42,103.48,68.93999999999998,39.98376058461895
216,11,12,2993,144,3,11/10/2024,231.47,25.2,Cash,,,156.11,694.41,468.33000000000004,226.07999999999993,32.55713483388775
217,12,108,513,154,1,01/01/2025,132.35,10.5,Debit Card,,,88.67,132.35,88.67,43.67999999999999,33.00340007555723
218,9,120,2080,11,2,09/10/2025,182.55,5.4,Credit Card,Price matched to competitor flyer,,85.82,365.1,171.64,193.46000000000004,52.988222404820604
222,12,108,3227,80,4,24/01/2025,95.93,3.6,Credit Card,,,66.87,383.72,267.48,116.24000000000001,30.29292192223496
224,10,39,2749,68,1,26/03/2025,231.38,26.1,Credit Card,,,106.55,231.38,106.55,124.83,53.950211772841214
226,10,39,446,111,1,23/12/2024,284.64,30.8,Debit Card,Price matched to competitor flyer,,117.34,284.64,117.34,167.29999999999998,58.7759977515458
230,12,108,2207,244,1,02/04/2025,244.37,6.0,Credit Card,Promo code LOYALTY20 applied at checkout,CODE,115.45,244.37,115.45,128.92000000000002,52.75606662028891
232,10,101,3028,274,2,27/11/2025,82.38,28.9,Debit Card,Promo code SEASON25 applied at checkout,CODE,45.39,164.76,90.78,73.97999999999999,44.90167516387472
238,11,64,694,19,4,19/05/2025,213.73,24.3,Cash,Promo code SEASON25 applied at checkout,CODE,100.61,854.92,402.44,452.47999999999996,52.926589622420806
240,10,71,2154,1286,2,04/11/2024,10.49,30.9,Credit Card,Price matched to competitor flyer,,3.68,20.98,7.36,13.620000000000001,64.91897044804577
243,12,36,1437,26,5,08/08/2025,268.15,5.7,Debit Card,Price matched to competitor flyer,,322.04,1340.75,1610.2,-269.45000000000005,-20.09696065634906
245,10,87,162,292,5,28/11/2025,197.52,31.3,Cash,Price matched to competitor flyer,,132.01,987.6,660.05,327.55000000000007,33.166261644390445
246,12,93,1461,401,1,17/08/2025,46.21,11.7,Credit Card,Price matched to competitor flyer,,25.41,46.21,25.41,20.8,45.011902185674096
249,11,44,3910,104,1,20/09/2025,68.18,27.4,Credit Card,,,42.68,68.18,42.68,25.500000000000007,37.400997359929605
252,11,64,4469,5,2,09/06/2025,135.98,24.7,Online,,,66.69,271.96,133.38,138.57999999999998,50.956022944550675
253,10,90,4059,894,4,14/10/2024,123.78,25.4,Credit Card,,,82.92,495.12,331.68,163.44,33.0101793504605
255,11,63,878,844,1,26/08/2025,294.51,22.8,Debit Card,,,122.17,294.51,122.17,172.33999999999997,58.51753760483515
257,12,102,1126,946,3,12/10/2024,81.85,11.7,Debit Card,Loyalty tier discount applied,,39.69,245.54999999999998,119.07,126.47999999999999,51.50885766646304
259,11,81,4962,267,1,30/11/2025,288.46,25.6,Online,,,195.7,288.46,195.7,92.75999999999999,32.15697150384802
261,9,25,478,62,1,22/08/2025,171.31,11.8,Cash,,,61.58,171.31,61.58,109.73,64.05347031696924
262,9,52,22,98,2,26/05/2025,78.32,11.2,Online,,,55.21,156.64,110.42,46.219999999999985,29.50715015321756
264,10,87,4817,1335,5,26/01/2025,296.98,29.8,Online,,,206.3,1484.9,1031.5,453.4000000000001,30.534042696477883
266,11,63,3718,160,1,14/01/2025,246.76,30.8,Credit Card,,,170.85,246.76,170.85,75.91,30.762684389690385
268,9,52,4491,817,1,30/06/2025,5.44,3.8,Cash,,,2.47,5.44,2.47,2.97,54.595588235294116
273,11,63,349,23,1,13/04/2025,263.46,28.6,Debit Card,Promo code SAVE10 applied at checkout,CODE,294.53,263.46,294.53,-31.069999999999993,-11.793061565323008
279,10,71,1155,711,1,14/10/2024,246.99,24.0,Debit Card,Promo code SAVE10 applied at checkout,CODE,92.38,246.99,92.38,154.61,62.59767601927204
282,10,16,449,1287,4,15/04/2025,80.26,28.4,Online,,,28.7,321.04,114.8,206.24,64.2412160478445
283,10,101,226,1,4,16/04/2025,200.65,23.5,Cash,,,71.48,802.6,285.92,516.6800000000001,64.37577871916272
290,10,39,2447,635,5,07/01/2025,69.12,25.1,Credit Card,,,49.0,345.6,245.0,100.60000000000002,29.1087962962963
295,10,55,3861,762,5,15/04/2025,60.3,33.1,Credit Card,,,32.87,301.5,164.35,137.15,45.48922056384743
297,11,12,1602,1366,3,17/07/2025,266.44,33.4,Debit Card,Price matched to competitor flyer,,114.69,799.3199999999999,344.07,455.24999999999994,56.9546614622429
299,12,36,885,157,5,02/10/2024,276.44,11.9,Credit Card,Promo code SEASON25 applied at checkout,CODE,110.25,1382.2,551.25,830.95,60.117927940963675
300,10,87,99,6,4,18/12/2024,250.24,23.7,Online,,,113.96,1000.96,455.84,545.1200000000001,54.45971867007674
303,12,36,1467,289,2,14/01/2025,29.87,4.8,Debit Card,Price matched to competitor flyer,,11.73,59.74,23.46,36.28,60.72982926012722
306,9,27,2901,12,2,12/12/2024,69.74,5.1,Credit Card,Loyalty tier discount applied,,44.14,139.48,88.28,51.19999999999999,36.70777172354459
315,11,12,427,1140,2,10/01/2025,160.66,30.1,Cash,,,105.14,321.32,210.28,111.03999999999999,34.55745051661894
319,12,102,2076,2,3,30/08/2025,159.48,6.7,Cash,,,70.72,478.43999999999994,212.16,266.28,55.655881615249555
321,12,36,1760,314,2,25/06/2025,186.34,7.8,Cash,Price matched to competitor flyer,,75.65,372.68,151.3,221.38,59.40216807985402
322,10,71,2560,252,3,06/12/2025,298.12,29.3,Debit Card,Promo code SEASON25 applied at checkout,CODE,138.64,894.36,415.91999999999996,478.44000000000005,53.49523681738898
323,10,33,4153,1208,2,29/07/2025,35.24,24.2,Cash,Promo code WELCOME15 applied at checkout,CODE,24.65,70.48,49.3,21.180000000000007,30.051078320090813
326,12,93,2277,152,2,11/11/2024,127.96,5.5,Debit Card,Promo code SAVE10 applied at checkout,CODE,86.82,255.92,173.64,82.28,32.15067208502657
329,9,120,3648,192,5,27/08/2025,263.28,5.2,Credit Card,,,113.59,1316.3999999999999,567.95,748.4499999999998,56.85581890003037
332,11,81,3272,246,1,01/09/2025,96.34,31.5,Credit Card,,,120.35,96.34,120.35,-24.00999999999999,-24.9221507162134
335,10,33,4340,270,2,14/04/2025,139.94,28.4,Cash,Promo code SAVE10 applied at checkout,CODE,53.75,279.88,107.5,172.38,61.590681720737464
337,10,39,3670,350,4,14/05/2025,60.46,22.9,Debit Card,,,76.81,241.84,307.24,-65.4,-27.042672841548132
338,12,102,2938,371,5,14/11/2025,114.66,11.1,Cash,Price matched to competitor flyer,,41.46,573.3,207.3,365.99999999999994,63.840920983778126
340,9,51,4891,68,4,22/01/2025,270.82,7.4,Online,,,160.1,1083.28,640.4,442.88,40.88324348275608
343,12,108,2931,1339,3,24/12/2024,29.43,5.8,Debit Card,,,12.55,88.28999999999999,37.650000000000006,50.639999999999986,57.35643900781514
347,11,63,1953,91,2,17/07/2025,217.53,24.1,Credit Card,,,120.12,435.06,240.24,194.82,44.78003034064267
350,11,12,4790,1117,1,27/01/2025,239.56,31.2,Cash,Promo code SAVE10 applied at checkout,CODE,152.93,239.56,152.93,86.63,36.16213057271664
354,11,44,460,141,2,28/05/2025,42.48,26.5,Credit Card,,,25.6,84.96,51.2,33.75999999999999,39.73634651600753
356,9,106,294,1161,1,18/01/2025,30.32,11.9,Credit Card,Price matched to competitor flyer,,11.13,30.32,11.13,19.189999999999998,63.29155672823218
362,12,102,2743,146,1,15/04/2025,254.83,8.6,Debit Card,Promo code SEASON25 applied at checkout,CODE,152.46,254.83,152.46,102.37,40.17187929207707
363,12,60,1299,36,4,14/01/2025,33.52,11.7,Credit Card,,,15.42,134.08,61.68,72.4,53.997613365155125
364,9,24,3929,182,1,20/11/2025,16.62,11.9,Debit Card,Promo code LOYALTY20 applied at checkout,CODE,11.65,16.62,11.65,4.970000000000001,29.90373044524669
367,10,16,4896,178,1,30/12/2024,209.13,28.7,Debit Card,Promo code WELCOME15 applied at checkout,CODE,115.83,209.13,115.83,93.3,44.61339836465357
371,9,37,2014,90,1,03/12/2025,131.51,5.2,Credit Card,Promo code SEASON25 applied at checkout,CODE,47.31,131.51,47.31,84.19999999999999,64.02554938787924
372,10,75,3646,1318,1,05/04/2025,261.37,32.5,Online,Promo code SEASON25 applied at checkout,CODE,122.34,261.37,122.34,139.03,53.19279182767724
373,10,101,998,286,2,02/12/2025,201.38,23.9,Cash,,,88.42,402.76,176.84,225.92,56.09295858575827
374,11,64,3608,1062,5,09/03/2025,206.88,24.1,Debit Card,,,260.9,1034.4,1304.5,-270.0999999999999,-26.11175560711522
376,11,63,209,4,3,26/01/2025,25.49,26.9,Credit Card,Price matched to competitor flyer,,11.17,76.47,33.51,42.96,56.17889368379757
377,9,120,2226,846,1,31/07/2025,72.47,6.4,Debit Card,,,45.8,72.47,45.8,26.67,36.80143507658342
378,9,37,2648,193,3,30/10/2024,60.7,10.4,Online,,,37.39,182.10000000000002,112.17,69.93000000000002,38.401976935749595
380,11,64,4468,120,1,16/11/2025,72.0,30.1,Online,Promo code SEASON25 applied at checkout,CODE,40.13,72.0,40.13,31.869999999999997,44.263888888888886
382,10,75,1044,986,5,29/04/2025,188.22,24.0,Cash,Price matched to competitor flyer,,95.29,941.1,476.45000000000005,464.65,49.373074062267555
385,12,18,1621,181,1,08/11/2025,79.05,4.1,Credit Card,,,48.12,79.05,48.12,30.93,39.12713472485769
390,9,37,4897,39,1,17/07/2025,54.58,8.8,Debit Card,Promo code WELCOME15 applied at checkout,CODE,21.42,54.58,21.42,33.16,60.754855258336384
391,11,63,1445,188,4,16/03/2025,262.56,30.3,Credit Card,,,137.54,1050.24,550.16,500.08000000000004,47.6157830591103
396,11,81,4101,193,1,27/01/2025,195.12,25.7,Cash,,,136.03,195.12,136.03,59.09,30.283927839278395
400,9,27,653,620,3,07/07/2025,28.61,8.6,Credit Card,,,16.91,85.83,50.730000000000004,35.099999999999994,40.89479203075847
401,11,64,1373,105,4,12/08/2025,120.71,32.5,Debit Card,,,56.24,482.84,224.96,257.88,53.408996769116065
405,9,111,2501,385,1,26/01/2025,53.29,10.5,Credit Card,Promo code SEASON25 applied at checkout,CODE,25.76,53.29,25.76,27.529999999999998,51.66072433852504
408,12,36,3654,242,2,03/08/2025,33.13,9.8,Credit Card,Loyalty tier discount applied,,14.71,66.26,29.42,36.84,55.59915484455177
409,12,102,1133,71,4,20/11/2024,29.5,10.4,Online,Loyalty tier discount applied,,11.93,118.0,47.72,70.28,59.55932203389831
415,12,60,1525,259,1,23/08/2025,169.8,9.4,Cash,,,93.78,169.8,93.78,76.02000000000001,44.77031802120142
416,12,36,4457,1016,1,23/08/2025,194.12,7.1,Online,Promo code SAVE10 applied at checkout,CODE,123.01,194.12,123.01,71.11,36.631980218421596
419,12,102,695,54,3,28/11/2024,256.57,4.5,Debit Card,,,158.89,769.71,476.66999999999996,293.0400000000001,38.071481467046034
421,11,97,4529,293,4,13/06/2025,228.35,24.2,Cash,Price matched to competitor flyer,,103.43,913.4,413.72,499.67999999999995,54.70549594920079
424,10,71,2203,21,2,25/04/2025,24.29,31.2,Cash,Loyalty tier discount applied,,9.65,48.58,19.3,29.279999999999998,60.27171675586661
425,12,18,4177,782,1,06/09/2025,119.5,8.8,Credit Card,Loyalty tier discount applied,,42.63,119.5,42.63,76.87,64.32635983263599
434,12,36,1386,258,2,19/03/2025,146.95,6.1,Debit Card,Loyalty tier discount applied,,75.82,293.9,151.64,142.26,48.404219122150394
438,10,15,3050,184,2,24/07/2025,218.75,27.2,Credit Card,Loyalty tier discount applied,,133.82,437.5,267.64,169.86,38.82514285714286
439,10,75,837,69,1,22/10/2024,288.55,30.7,Debit Card,Promo code SAVE10 applied at checkout,CODE,177.0,288.55,177.0,111.55000000000001,38.65881129786865
443,10,55,1569,1301,2,29/06/2025,43.39,26.5,Debit Card,,,15.56,86.78,31.12,55.66,64.13920258123991
445,12,36,3892,259,4,03/02/2025,251.04,8.2,Credit Card,,,129.75,1004.16,519.0,485.15999999999997,48.31500956022944
446,10,90,3175,58,1,08/06/2025,280.19,22.9,Credit Card,,,138.95,280.19,138.95,141.24,50.408651272350916
447,9,2,4368,154,1,05/11/2025,28.62,10.5,Credit Card,Promo code SEASON25 applied at checkout,CODE,31.33,28.62,31.33,-2.7099999999999973,-9.468902865129271
448,12,60,3843,116,1,19/10/2024,144.84,9.7,Credit Card,,,61.98,144.84,61.98,82.86000000000001,57.20795360397681
449,12,18,2821,7,3,01/06/2025,125.34,7.6,Debit Card,,,148.16,376.02,444.48,-68.46000000000004,-18.20647837880965
452,11,12,4216,260,3,05/12/2024,289.68,26.2,Cash,Promo code SAVE10 applied at checkout,CODE,176.93,869.04,530.79,338.25,38.92225904446286
456,12,18,1481,1405,1,25/09/2025,229.95,10.8,Debit Card,Promo code WELCOME15 applied at checkout,CODE,92.11,229.95,92.11,137.83999999999997,59.943465970863215
458,12,100,4651,38,1,03/12/2025,43.36,11.4,Debit Card,,,23.04,43.36,23.04,20.32,46.86346863468635
459,9,111,2791,283,1,03/05/2025,197.03,6.2,Online,,,124.73,197.03,124.73,72.3,36.694919555397654
463,11,64,419,93,1,16/03/2025,191.86,29.3,Cash,,,138.09,191.86,138.09,53.77000000000001,28.025643698530185
464,12,102,1465,196,4,08/10/2024,268.5,6.8,Cash,Loyalty tier discount applied,,171.82,1074.0,687.28,386.72,36.0074487895717
467,12,100,2147,197,2,02/08/2025,212.85,11.2,Cash,,,120.47,425.7,240.94,184.76,43.40145642471224
468,12,102,527,899,1,07/08/2025,79.46,5.2,Credit Card,,,51.9,79.46,51.9,27.559999999999995,34.68411779511704
481,9,25,1681,96,1,29/03/2025,84.02,6.0,Debit Card,,,56.92,84.02,56.92,27.099999999999994,32.25422518447988
483,9,65,1345,193,2,21/08/2025,221.7,5.7,Cash,Promo code SAVE10 applied at checkout,CODE,157.0,443.4,314.0,129.39999999999998,29.18358141632837
487,10,87,2941,90,1,28/01/2025,70.88,31.0,Credit Card,Price matched to competitor flyer,,36.45,70.88,36.45,34.42999999999999,48.57505643340857
489,12,100,1653,1201,3,03/11/2025,37.01,10.1,Cash,Price matched to competitor flyer,,17.14,111.03,51.42,59.61,53.68819238043771
493,10,71,3274,1283,4,18/07/2025,69.63,31.1,Debit Card,,,24.94,278.52,99.76,178.76,64.1821054143329
494,12,36,2126,213,1,29/11/2025,94.22,6.3,Credit Card,,,54.43,94.22,54.43,39.79,42.23094884313309
496,10,67,1233,131,5,02/02/2025,49.76,30.9,Credit Card,Promo code WELCOME15 applied at checkout,CODE,23.26,248.79999999999998,116.30000000000001,132.49999999999997,53.25562700964629
498,11,97,2916,114,1,02/02/2025,294.51,25.3,Cash,,,138.49,294.51,138.49,156.01999999999998,52.97612984278971
500,10,15,4150,69,2,14/11/2024,7.93,23.5,Credit Card,Promo code SEASON25 applied at checkout,CODE,4.78,15.86,9.56,6.299999999999999,39.72257250945775
502,11,97,2293,192,3,30/12/2024,237.48,33.9,Credit Card,Loyalty tier discount applied,,161.21,712.4399999999999,483.63,228.80999999999995,32.116388748526184
508,10,55,2061,19,1,08/04/2025,195.06,30.1,Online,,,102.68,195.06,102.68,92.38,47.3597867322875
514,11,12,2431,52,2,22/01/2025,75.15,27.6,Credit Card,,,43.44,150.3,86.88,63.420000000000016,42.19560878243514
516,9,25,1085,82,1,06/08/2025,150.47,5.6,Debit Card,,,53.28,150.47,53.28,97.19,64.59094836179969
518,12,102,217,117,4,02/12/2025,41.95,7.6,Cash,,,20.57,167.8,82.28,85.52000000000001,50.96543504171633
519,10,16,4375,547,5,31/08/2025,162.5,24.4,Credit Card,Promo code LOYALTY20 applied at checkout,CODE,74.19,812.5,370.95,441.55,54.344615384615395
524,9,6,2365,192,1,10/05/2025,189.98,4.6,Credit Card,Promo code LOYALTY20 applied at checkout,CODE,115.23,189.98,115.23,74.74999999999999,39.34624697336561
528,11,12,892,654,1,18/09/2025,266.8,25.6,Online,Loyalty tier discount applied,,122.99,266.8,122.99,143.81,53.90179910044978
531,11,81,2274,1161,4,03/07/2025,289.27,24.3,Cash,Price matched to competitor flyer,,184.75,1157.08,739.0,418.0799999999999,36.13233311439139
534,10,67,1040,157,5,30/07/2025,68.88,31.2,Credit Card,Loyalty tier discount applied,,46.17,344.4,230.85000000000002,113.54999999999995,32.97038327526131
537,9,37,2691,1132,1,16/03/2025,29.56,4.2,Credit Card,,,12.56,29.56,12.56,17.0,57.51014884979703
538,9,6,4545,151,4,01/12/2024,181.72,9.7,Online,Promo code LOYALTY20 applied at checkout,CODE,71.38,726.88,285.52,441.36,60.719788685890386
543,9,6,2466,546,1,15/07/2025,202.69,6.6,Credit Card,,,105.06,202.69,105.06,97.63,48.16715180817997
547,10,75,2164,267,1,02/10/2024,254.89,31.3,Online,,,126.18,254.89,126.18,128.70999999999998,50.496292518341235
551,9,51,1177,152,2,23/11/2024,282.63,8.3,Credit Card,,,176.77,565.26,353.54,211.71999999999997,37.45533029048579
552,10,15,4011,267,1,02/04/2025,282.24,22.0,Debit Card,Promo code SEASON25 applied at checkout,CODE,155.19,282.24,155.19,127.05000000000001,45.014880952380956
557,11,63,295,1425,2,29/08/2025,10.74,24.0,Debit Card,,,3.78,21.48,7.56,13.920000000000002,64.80446927374302
560,11,64,4302,186,4,09/01/2025,127.35,32.2,Debit Card,,,45.5,509.4,182.0,327.4,64.27169218688653
561,12,108,3070,618,3,12/09/2025,212.83,4.5,Debit Card,Price matched to competitor flyer,,144.0,638.49,432.0,206.49,32.340365549969455
562,12,108,4881,232,2,20/10/2024,59.74,3.4,Online,Promo code SEASON25 applied at checkout,CODE,40.71,119.48,81.42,38.06,31.854703716103117
566,9,6,321,1343,2,06/01/2025,35.32,3.8,Online,Promo code LOYALTY20 applied at checkout,CODE,12.86,70.64,25.72,44.92,63.590033975084935
571,9,27,4883,267,4,09/07/2025,85.83,3.3,Credit Card,Price matched to competitor flyer,,40.56,343.32,162.24,181.07999999999998,52.743795875567976
572,10,101,2211,108,1,30/05/2025,65.67,28.2,Credit Card,,,31.15,65.67,31.15,34.52,52.565859601035484
573,11,12,1878,4,5,30/11/2024,217.15,31.2,Cash,Price matched to competitor flyer,,104.13,1085.75,520.65,565.1,52.04697213907438
576,12,60,1802,186,3,05/10/2024,167.81,5.3,Debit Card,,,109.43,503.43,328.29,175.14,34.78934509266432
577,12,36,147,267,4,07/03/2025,280.48,11.3,Online,,,145.42,1121.92,581.68,540.2400000000001,48.15316600114091
583,10,101,1841,77,2,11/07/2025,218.14,25.6,Debit Card,Promo code SEASON25 applied at checkout,CODE,149.18,436.28,298.36,137.91999999999996,31.61272577243971
584,9,52,4168,572,5,03/11/2025,291.62,11.7,Online,,,167.05,1458.1,835.25,622.8499999999999,42.71654893354365
