stock_id,store_id,product_id,quantity,reorder_level,last_restocked,batch_number,expiry_date,received_date,condition_notes
58,6,3362,5,19,2026-07-20,BATCH-58,2028-01-08,2026-07-20,Below reorder level - reorder placed 2026-08-01
59,12,2546,21,17,2025-09-29,BATCH-59,2027-01-09,2025-09-29,
60,10,4605,25,49,2025-07-14,BATCH-60,2029-03-14,2025-07-14,Below reorder level - reorder placed 2025-07-24
61,10,755,114,48,2025-09-11,BATCH-61,2029-02-06,2025-09-11,
62,7,2051,78,59,2025-09-24,BATCH-62,2028-09-05,2025-09-24,
63,4,4955,39,29,2025-10-10,BATCH-63,2029-10-17,2025-10-10,
64,5,1769,78,37,2025-09-01,BATCH-64,2029-06-04,2025-09-01,
65,11,685,43,49,2026-07-21,BATCH-65,2027-09-11,2026-07-21,Below reorder level - reorder placed 2026-08-01
66,12,183,112,28,2025-06-17,BATCH-66,2026-04-16,2025-06-17,Expiring in 0 days - flag for clearance
67,3,1521,9,37,2026-07-01,BATCH-67,2027-04-04,2026-07-01,
68,6,485,69,52,2026-05-05,BATCH-68,2028-11-05,2026-05-05,
69,5,3676,48,54,2025-10-08,BATCH-69,2029-09-19,2025-10-08,
70,4,498,101,23,2026-02-26,BATCH-70,2029-12-12,2026-02-26,
71,5,4374,89,29,2026-05-29,BATCH-71,2029-06-08,2026-05-29,
72,5,4722,52,51,2026-08-16,BATCH-72,2028-02-02,2026-08-16,
73,4,1849,80,58,2026-06-15,BATCH-73,2028-03-08,2026-06-15,
74,3,296,68,58,2026-07-10,BATCH-74,2027-01-11,2026-07-10,
75,2,1713,106,58,2026-04-04,BATCH-75,2026-06-16,2026-04-04,Expiring in 0 days - flag for clearance
76,8,1034,65,23,2026-03-18,BATCH-76,2027-12-31,2026-03-18,
77,3,1520,25,46,2025-12-09,BATCH-77,2029-12-28,2025-12-09,Below reorder level - reorder placed 2025-12-22
78,1,2493,115,31,2026-02-02,BATCH-78,2027-03-04,2026-02-02,
79,2,4825,80,17,2026-04-23,BATCH-79,2029-04-29,2026-04-23,
80,6,3384,104,26,2025-08-05,BATCH-80,2026-08-06,2025-08-05,Expiring in 0 days - flag for clearance
81,2,4364,14,52,2026-03-08,BATCH-81,2026-09-07,2026-03-08,Expiring in 0 days - flag for clearance
82,8,3285,52,47,2026-05-29,BATCH-82,2026-01-25,2026-05-29,Expiring in 0 days - flag for clearance
83,2,2955,25,47,2025-09-11,BATCH-83,2028-05-12,2025-09-11,Below reorder level - reorder placed 2025-09-21
84,7,4465,40,41,2026-03-11,BATCH-84,2029-04-08,2026-03-11,Below reorder level - reorder placed 2026-03-14
85,9,1745,23,29,2025-09-12,BATCH-85,2029-05-06,2025-09-12,Below reorder level - reorder placed 2025-09-18
86,1,2125,38,18,2025-06-26,BATCH-86,2029-02-14,2025-06-26,
87,1,4933,63,44,2025-06-22,BATCH-87,2029-01-05,2025-06-22,
88,6,3373,50,31,2026-03-11,BATCH-88,2026-12-28,2026-03-11,
89,2,2093,26,55,2025-11-04,BATCH-89,2027-02-04,2025-11-04,Below reorder level - reorder placed 2025-11-14
90,4,1020,115,17,2025-12-31,BATCH-90,2027-03-25,2025-12-31,
91,4,2169,37,48,2026-02-17,BATCH-91,2027-04-30,2026-02-17,
92,11,4835,117,43,2025-10-26,BATCH-92,2026-08-16,2025-10-26,Expiring in 0 days - flag for clearance
93,1,3752,12,58,2026-08-03,BATCH-93,2026-12-29,2026-08-03,Below reorder level - reorder placed 2026-08-07
94,1,1203,71,30,2026-02-28,BATCH-94,2028-07-07,2026-02-28,
95,2,2084,75,39,2026-04-06,BATCH-95,2029-05-29,2026-04-06,
96,8,243,92,25,2026-03-11,BATCH-96,2026-09-21,2026-03-11,Expiring in 11 days - flag for clearance
97,8,4149,82,39,2025-08-23,BATCH-97,2029-09-14,2025-08-23,
98,4,3330,103,27,2026-08-16,BATCH-98,2026-02-13,2026-08-16,Expiring in 0 days - flag for clearance
99,11,1811,68,17,2025-07-02,BATCH-99,2026-01-12,2025-07-02,Expiring in 0 days - flag for clearance
100,6,484,99,34,2026-07-18,BATCH-100,2028-04-24,2026-07-18,
101,8,1173,85,35,2026-07-03,BATCH-101,2029-09-25,2026-07-03,
102,4,2111,57,58,2025-07-11,BATCH-102,2026-02-05,2025-07-11,Expiring in 0 days - flag for clearance
103,7,2525,96,29,2025-12-24,BATCH-103,2029-07-29,2025-12-24,
104,8,1004,32,22,2026-03-08,BATCH-104,2028-03-21,2026-03-08,
105,1,648,72,53,2025-09-17,BATCH-105,2026-02-08,2025-09-17,Expiring in 0 days - flag for clearance
106,7,2490,29,44,2026-04-10,BATCH-106,2029-09-22,2026-04-10,Below reorder level - reorder placed 2026-04-20
107,3,1277,59,32,2025-11-23,BATCH-107,2027-07-11,2025-11-23,
108,5,1629,73,22,2025-06-01,BATCH-108,2029-04-05,2025-06-01,
109,10,4892,59,24,2025-12-03,BATCH-109,2028-08-10,2025-12-03,
110,11,364,24,54,2026-08-15,BATCH-110,2026-07-06,2026-08-15,Expiring in 0 days - flag for clearance; Below reorder level - reorder placed 2026-08-21
111,5,4885,84,33,2025-06-23,BATCH-111,2026-09-27,2025-06-23,Expiring in 17 days - flag for clearance
112,1,4873,22,23,2026-05-29,BATCH-112,2026-09-15,2026-05-29,Expiring in 5 days - flag for clearance; Below reorder level - reorder placed 2026-06-02
113,8,3604,97,23,2025-11-26,BATCH-113,2026-04-05,2025-11-26,Expiring in 0 days - flag for clearance
114,6,2149,18,42,2025-08-05,BATCH-114,2026-05-25,2025-08-05,Expiring in 0 days - flag for clearance; Below reorder level - reorder placed 2025-08-18
115,8,2075,73,33,2026-02-10,BATCH-115,2029-05-20,2026-02-10,
116,1,691,5,45,2025-08-20,BATCH-116,2026-04-18,2025-08-20,Expiring in 0 days - flag for clearance
117,3,2109,109,57,2026-07-07,BATCH-117,2027-03-05,2026-07-07,
118,3,134,84,40,2026-06-17,BATCH-118,2027-01-01,2026-06-17,
119,3,4600,30,42,2025-11-11,BATCH-119,2027-09-04,2025-11-11,
120,11,490,90,45,2025-10-13,BATCH-120,2029-12-09,2025-10-13,
121,9,1643,116,26,2026-06-20,BATCH-121,2027-05-16,2026-06-20,
122,4,2593,21,52,2026-06-22,BATCH-122,2026-10-08,2026-06-22,Expiring in 28 days - flag for clearance
123,11,1535,80,29,2026-01-17,BATCH-123,2028-10-07,2026-01-17,
124,6,4141,60,17,2026-05-25,BATCH-124,2028-08-16,2026-05-25,
125,2,861,59,43,2025-10-13,BATCH-125,2028-04-04,2025-10-13,
126,11,2249,68,22,2026-02-10,BATCH-126,2028-10-01,2026-02-10,
127,8,4605,18,16,2026-06-23,BATCH-127,2029-03-14,2026-06-23,
128,5,3099,20,17,2025-07-28,BATCH-128,2028-06-07,2025-07-28,
129,8,1087,64,44,2026-08-28,BATCH-129,2027-12-31,2026-08-28,
130,7,3743,78,47,2026-03-21,BATCH-130,2026-11-02,2026-03-21,Expiring in 53 days - monitor
131,3,658,116,50,2025-08-26,BATCH-131,2027-09-24,2025-08-26,
132,10,373,10,35,2025-08-25,BATCH-132,2028-08-01,2025-08-25,
133,4,4129,86,49,2026-05-05,BATCH-133,2028-12-06,2026-05-05,
134,3,2647,45,30,2025-10-20,BATCH-134,2027-01-09,2025-10-20,
135,5,2600,51,24,2026-03-27,BATCH-135,2027-07-13,2026-03-27,
136,7,3936,102,58,2026-05-17,BATCH-136,2026-12-20,2026-05-17,
137,10,33,90,15,2026-08-15,BATCH-137,2027-11-01,2026-08-15,
138,2,345,80,15,2026-07-03,BATCH-138,2027-01-09,2026-07-03,
139,8,1954,19,46,2026-08-24,BATCH-139,2029-08-31,2026-08-24,
140,4,2390,98,54,2025-08-31,BATCH-140,2026-02-21,2025-08-31,Expiring in 0 days - flag for clearance
141,1,3380,110,31,2025-09-09,BATCH-141,2027-10-05,2025-09-09,
142,2,1115,79,20,2026-04-25,BATCH-142,2025-12-27,2026-04-25,Expiring in 0 days - flag for clearance
143,9,1804,76,19,2026-06-18,BATCH-143,2027-12-28,2026-06-18,
144,9,1783,11,55,2026-06-24,BATCH-144,2027-12-07,2026-06-24,Below reorder level - reorder placed 2026-07-06
145,6,4114,76,41,2025-12-12,BATCH-145,2026-06-13,2025-12-12,Expiring in 0 days - flag for clearance
146,11,436,82,48,2026-04-20,BATCH-146,2027-12-26,2026-04-20,
147,4,4704,102,15,2025-10-12,BATCH-147,2028-03-08,2025-10-12,
148,3,1024,59,52,2026-05-05,BATCH-148,2028-09-13,2026-05-05,
149,9,14,46,46,2025-09-09,BATCH-149,2026-08-02,2025-09-09,Expiring in 0 days - flag for clearance
150,9,4046,105,47,2025-11-05,BATCH-150,2029-10-11,2025-11-05,
151,1,1633,47,55,2026-01-29,BATCH-151,2028-11-12,2026-01-29,Below reorder level - reorder placed 2026-02-03
152,8,729,42,33,2025-11-07,BATCH-152,2026-10-08,2025-11-07,Expiring in 28 days - flag for clearance
153,3,2744,30,29,2025-06-05,BATCH-153,2029-09-28,2025-06-05,
154,10,2283,42,24,2026-07-16,BATCH-154,2026-05-26,2026-07-16,Expiring in 0 days - flag for clearance
155,12,3271,28,56,2026-04-08,BATCH-155,2027-01-19,2026-04-08,Below reorder level - reorder placed 2026-04-17
156,8,3416,62,40,2026-07-19,BATCH-156,2029-05-04,2026-07-19,
157,9,477,68,33,2025-09-28,BATCH-157,2028-07-24,2025-09-28,
158,4,4109,63,51,2026-07-26,BATCH-158,2027-06-19,2026-07-26,
159,1,4464,90,16,2026-04-08,BATCH-159,2027-10-25,2026-04-08,
160,7,3695,40,22,2026-04-07,BATCH-160,2026-10-07,2026-04-07,Expiring in 27 days - flag for clearance
161,7,2956,9,55,2025-09-27,BATCH-161,2026-10-29,2025-09-27,
162,3,4132,105,25,2026-06-25,BATCH-162,2026-10-19,2026-06-25,
163,10,4310,29,56,2026-08-14,BATCH-163,2028-05-10,2026-08-14,Below reorder level - reorder placed 2026-08-20
164,3,218,22,19,2026-02-07,BATCH-164,2028-08-05,2026-02-07,
165,1,3107,38,25,2026-01-12,BATCH-165,2026-09-26,2026-01-12,Expiring in 16 days - flag for clearance
166,8,4698,41,30,2026-03-25,BATCH-166,2029-05-03,2026-03-25,
167,12,1529,94,49,2026-03-17,BATCH-167,2027-02-25,2026-03-17,
168,11,4997,25,41,2026-05-28,BATCH-168,2028-08-04,2026-05-28,Below reorder level - reorder placed 2026-06-04
169,6,3670,9,25,2025-09-21,BATCH-169,2027-01-01,2025-09-21,Below reorder level - reorder placed 2025-09-27
170,5,1246,109,50,2026-08-01,BATCH-170,2026-01-16,2026-08-01,Expiring in 0 days - flag for clearance
171,7,1710,2,44,2025-08-07,BATCH-171,2029-01-02,2025-08-07,Below reorder level - reorder placed 2025-08-17
172,6,3016,71,17,2025-10-14,BATCH-172,2027-12-26,2025-10-14,
173,1,866,0,52,2026-07-14,BATCH-173,2027-06-16,2026-07-14,Below reorder level - reorder placed 2026-07-17
174,7,1187,7,38,2026-07-29,BATCH-174,2027-12-06,2026-07-29,Below reorder level - reorder placed 2026-08-09
175,9,427,50,19,2026-06-22,BATCH-175,2028-12-21,2026-06-22,
176,8,4872,114,27,2026-03-07,BATCH-176,2026-11-09,2026-03-07,
177,8,3807,61,57,2025-08-15,BATCH-177,2027-08-30,2025-08-15,
178,9,1695,96,36,2026-05-31,BATCH-178,2026-12-26,2026-05-31,
179,11,1357,86,48,2025-06-13,BATCH-179,2026-11-30,2025-06-13,Expiring in 81 days - monitor
180,9,1192,69,37,2025-06-04,BATCH-180,2027-11-21,2025-06-04,
181,8,3898,80,58,2026-06-07,BATCH-181,2029-09-15,2026-06-07,
182,4,2294,96,28,2025-12-15,BATCH-182,2029-06-19,2025-12-15,
183,4,3304,78,30,2025-07-04,BATCH-183,2026-12-29,2025-07-04,
184,10,1901,95,53,2025-09-23,BATCH-184,2026-11-03,2025-09-23,Expiring in 54 days - monitor
185,8,278,69,56,2025-09-23,BATCH-185,2029-06-05,2025-09-23,
186,9,2143,16,30,2025-06-26,BATCH-186,2028-10-31,2025-06-26,Below reorder level - reorder placed 2025-06-30
187,10,554,27,20,2026-06-18,BATCH-187,2028-03-12,2026-06-18,
188,4,3784,38,23,2025-06-30,BATCH-188,2026-09-27,2025-06-30,Expiring in 17 days - flag for clearance
189,8,733,2,42,2025-07-01,BATCH-189,2029-04-25,2025-07-01,
190,11,1059,96,16,2026-08-18,BATCH-190,2029-03-28,2026-08-18,
191,6,656,25,57,2025-10-30,BATCH-191,2029-10-05,2025-10-30,
192,6,4375,20,33,2026-06-04,BATCH-192,2026-12-21,2026-06-04,Below reorder level - reorder placed 2026-06-08
193,3,1838,87,54,2026-04-02,BATCH-193,2026-07-17,2026-04-02,Expiring in 0 days - flag for clearance
194,10,4389,93,41,2026-03-23,BATCH-194,2028-05-15,2026-03-23,
195,1,4009,107,29,2025-09-10,BATCH-195,2028-02-21,2025-09-10,
196,11,3338,46,26,2025-08-21,BATCH-196,2026-11-16,2025-08-21,Expiring in 67 days - monitor
197,5,2452,52,55,2026-06-21,BATCH-197,2026-11-14,2026-06-21,
198,9,2374,26,35,2025-11-12,BATCH-198,2029-03-05,2025-11-12,
199,2,4535,3,15,2026-03-30,BATCH-199,2027-04-17,2026-03-30,
200,1,2075,118,31,2026-05-03,BATCH-200,2029-05-20,2026-05-03,
201,4,3993,117,59,2025-12-11,BATCH-201,2026-08-01,2025-12-11,Expiring in 0 days - flag for clearance
202,5,4396,43,27,2025-07-05,BATCH-202,2027-12-05,2025-07-05,
203,11,2936,17,41,2025-11-09,BATCH-203,2026-02-16,2025-11-09,Expiring in 0 days - flag for clearance; Below reorder level - reorder placed 2025-11-20
204,3,3736,60,47,2026-02-11,BATCH-204,2029-11-17,2026-02-11,
205,10,4531,98,17,2026-01-04,BATCH-205,2028-03-26,2026-01-04,
206,10,3859,26,48,2025-10-30,BATCH-206,2028-03-21,2025-10-30,Below reorder level - reorder placed 2025-11-05
207,8,4552,70,25,2025-11-26,BATCH-207,2028-10-27,2025-11-26,
208,8,1974,87,35,2026-07-07,BATCH-208,2028-03-02,2026-07-07,
209,9,1185,57,33,2026-07-21,BATCH-209,2026-12-20,2026-07-21,
210,8,2683,13,37,2026-02-14,BATCH-210,2026-10-01,2026-02-14,Expiring in 21 days - flag for clearance; Below reorder level - reorder placed 2026-02-23
211,5,4052,108,25,2025-06-08,BATCH-211,2030-01-10,2025-06-08,
212,10,4379,42,33,2025-11-27,BATCH-212,2026-11-28,2025-11-27,
213,6,4356,40,28,2025-09-25,BATCH-213,2026-06-15,2025-09-25,Expiring in 0 days - flag for clearance
214,2,278,91,21,2025-09-05,BATCH-214,2029-06-05,2025-09-05,
215,4,623,87,46,2025-06-21,BATCH-215,2027-06-09,2025-06-21,
216,6,3573,44,24,2025-10-09,BATCH-216,2029-01-19,2025-10-09,
217,9,2683,70,44,2025-06-14,BATCH-217,2026-10-01,2025-06-14,Expiring in 21 days - flag for clearance
218,3,4957,38,58,2026-03-17,BATCH-218,2027-01-17,2026-03-17,Below reorder level - reorder placed 2026-03-26
219,11,660,95,15,2026-01-25,BATCH-219,2028-09-26,2026-01-25,
220,1,768,106,21,2025-08-01,BATCH-220,2028-04-16,2025-08-01,
221,12,4718,73,18,2026-04-12,BATCH-221,2027-03-26,2026-04-12,
222,12,4673,46,26,2025-08-07,BATCH-222,2028-09-08,2025-08-07,
223,10,1597,54,59,2026-06-25,BATCH-223,2026-05-07,2026-06-25,Expiring in 0 days - flag for clearance
224,2,1933,76,58,2025-12-31,BATCH-224,2029-12-24,2025-12-31,
225,6,1961,85,26,2026-07-28,BATCH-225,2027-08-01,2026-07-28,
226,5,3962,102,52,2026-04-04,BATCH-226,2029-01-03,2026-04-04,
227,12,3589,106,25,2025-10-31,BATCH-227,2027-01-19,2025-10-31,
228,6,3115,97,19,2025-07-23,BATCH-228,2026-09-25,2025-07-23,Expiring in 15 days - flag for clearance
229,6,4222,37,50,2025-10-11,BATCH-229,2027-04-21,2025-10-11,Below reorder level - reorder placed 2025-10-23
230,1,4923,102,59,2025-06-23,BATCH-230,2026-11-08,2025-06-23,Expiring in 59 days - monitor
231,12,3478,36,45,2025-08-28,BATCH-231,2026-02-08,2025-08-28,Expiring in 0 days - flag for clearance; Below reorder level - reorder placed 2025-09-06
232,2,2797,23,35,2025-12-23,BATCH-232,2027-07-23,2025-12-23,
233,5,2596,99,45,2026-01-24,BATCH-233,2028-03-20,2026-01-24,
234,12,4174,102,42,2026-07-22,BATCH-234,2027-04-29,2026-07-22,
235,12,1046,13,44,2025-07-27,BATCH-235,2027-01-03,2025-07-27,
236,6,581,2,47,2025-08-28,BATCH-236,2027-08-17,2025-08-28,
237,9,2654,1,23,2025-08-19,BATCH-237,2029-05-27,2025-08-19,Below reorder level - reorder placed 2025-08-30
238,2,3142,45,44,2026-07-23,BATCH-238,2026-04-18,2026-07-23,Expiring in 0 days - flag for clearance
239,9,1394,30,47,2025-06-30,BATCH-239,2026-12-16,2025-06-30,Below reorder level - reorder placed 2025-07-05
240,4,4072,45,20,2025-06-15,BATCH-240,2028-10-08,2025-06-15,
241,3,673,72,32,2026-05-12,BATCH-241,2029-11-29,2026-05-12,
242,4,4320,71,58,2026-05-13,BATCH-242,2029-09-27,2026-05-13,
243,6,4577,35,44,2025-08-24,BATCH-243,2029-08-03,2025-08-24,
244,12,3780,77,16,2025-12-19,BATCH-244,2026-11-25,2025-12-19,
245,6,4635,50,36,2026-04-23,BATCH-245,2028-02-22,2026-04-23,
246,6,1487,39,22,2026-02-19,BATCH-246,2028-08-27,2026-02-19,
247,2,3558,41,36,2026-06-07,BATCH-247,2027-11-24,2026-06-07,
248,6,3735,78,51,2025-11-14,BATCH-248,2030-01-17,2025-11-14,
249,4,2893,70,50,2025-10-03,BATCH-249,2026-06-07,2025-10-03,Expiring in 0 days - flag for clearance
250,3,2060,95,41,2026-06-16,BATCH-250,2028-06-23,2026-06-16,
251,5,4895,117,44,2026-04-10,BATCH-251,2026-03-20,2026-04-10,Expiring in 0 days - flag for clearance
252,1,1762,64,36,2026-01-02,BATCH-252,2027-03-02,2026-01-02,
253,5,1360,99,45,2025-10-28,BATCH-253,2027-10-13,2025-10-28,
254,7,3318,3,20,2026-02-14,BATCH-254,2027-05-29,2026-02-14,Below reorder level - reorder placed 2026-02-24
255,8,3972,116,44,2026-08-08,BATCH-255,2029-03-03,2026-08-08,
256,12,3321,62,24,2026-06-08,BATCH-256,2027-04-16,2026-06-08,
257,12,4567,103,20,2025-10-26,BATCH-257,2027-09-03,2025-10-26,
258,4,4472,7,59,2026-07-21,BATCH-258,2029-05-09,2026-07-21,Below reorder level - reorder placed 2026-07-26
259,11,3281,110,16,2026-01-14,BATCH-259,2026-07-04,2026-01-14,Expiring in 0 days - flag for clearance
260,5,4515,18,57,2025-11-05,BATCH-260,2028-11-11,2025-11-05,Below reorder level - reorder placed 2025-11-10
261,11,1063,83,44,2026-01-30,BATCH-261,2029-02-13,2026-01-30,
262,1,3260,56,36,2026-02-01,BATCH-262,2028-01-20,2026-02-01,
263,8,1299,12,53,2026-06-24,BATCH-263,2027-03-28,2026-06-24,
264,7,798,38,17,2025-12-13,BATCH-264,2029-01-02,2025-12-13,
265,2,4493,13,56,2025-11-03,BATCH-265,2028-07-29,2025-11-03,Below reorder level - reorder placed 2025-11-12
266,11,1816,50,24,2025-10-15,BATCH-266,2027-06-12,2025-10-15,
267,3,927,67,41,2025-11-08,BATCH-267,2026-03-13,2025-11-08,Expiring in 0 days - flag for clearance
268,1,4890,57,18,2025-12-13,BATCH-268,2026-04-10,2025-12-13,Expiring in 0 days - flag for clearance
269,10,3684,103,59,2026-03-22,BATCH-269,2029-03-10,2026-03-22,
270,6,4466,47,46,2026-01-12,BATCH-270,2027-09-02,2026-01-12,
271,3,3555,3,50,2026-02-03,BATCH-271,2028-10-21,2026-02-03,
272,3,111,89,46,2026-04-09,BATCH-272,2028-02-16,2026-04-09,
273,5,4591,27,46,2025-10-22,BATCH-273,2028-11-30,2025-10-22,Below reorder level - reorder placed 2025-10-30
274,4,1147,44,46,2025-11-07,BATCH-274,2027-08-14,2025-11-07,Below reorder level - reorder placed 2025-11-19
275,6,197,80,58,2026-08-09,BATCH-275,2026-11-30,2026-08-09,
276,5,3844,111,53,2025-09-15,BATCH-276,2029-10-03,2025-09-15,
277,5,306,104,33,2025-07-30,BATCH-277,2029-10-12,2025-07-30,
278,2,4628,99,41,2025-06-22,BATCH-278,2028-11-29,2025-06-22,
279,2,1538,72,59,2026-02-13,BATCH-279,2026-12-02,2026-02-13,
280,2,3731,103,20,2026-06-27,BATCH-280,2027-08-17,2026-06-27,
281,4,2535,18,41,2025-08-17,BATCH-281,2029-06-13,2025-08-17,
282,2,2232,80,16,2026-07-17,BATCH-282,2027-09-13,2026-07-17,
283,3,2482,7,29,2026-04-20,BATCH-283,2026-05-04,2026-04-20,Expiring in 0 days - flag for clearance
284,12,220,53,26,2025-08-30,BATCH-284,2029-07-18,2025-08-30,
285,7,4428,95,39,2026-03-17,BATCH-285,2028-04-08,2026-03-17,
286,7,4811,63,42,2025-06-05,BATCH-286,2026-04-25,2025-06-05,Expiring in 0 days - flag for clearance
287,3,3162,9,58,2026-04-10,BATCH-287,2026-09-24,2026-04-10,Expiring in 14 days - flag for clearance
288,11,497,64,30,2026-05-25,BATCH-288,2028-04-26,2026-05-25,
289,6,168,31,30,2026-07-02,BATCH-289,2029-08-07,2026-07-02,
290,7,2147,109,40,2025-12-11,BATCH-290,2029-07-09,2025-12-11,
291,2,4191,40,51,2026-07-27,BATCH-291,2026-10-04,2026-07-27,Expiring in 24 days - flag for clearance
292,9,1343,119,46,2026-02-09,BATCH-292,2027-11-22,2026-02-09,
293,4,2715,62,59,2026-05-27,BATCH-293,2026-11-30,2026-05-27,
294,6,2289,11,54,2026-08-09,BATCH-294,2026-09-05,2026-08-09,Expiring in 0 days - flag for clearance; Below reorder level - reorder placed 2026-08-17
295,2,3452,25,40,2026-07-06,BATCH-295,2027-08-20,2026-07-06,Below reorder level - reorder placed 2026-07-19
296,11,1760,87,52,2026-05-16,BATCH-296,2029-11-27,2026-05-16,
297,3,3426,50,57,2026-02-10,BATCH-297,2026-05-10,2026-02-10,Expiring in 0 days - flag for clearance; Below reorder level - reorder placed 2026-02-16
