sale_id,store_id,employee_id,product_id,customer_id,quantity,sale_date,unit_price,discount_pct,payment_method
293,2,13,2124,1464,2,02/12/2025,250.46,4.5,Credit Card
296,4,1,2953,1476,1,17/12/2024,202.52,6.7,Credit Card
302,3,88,1222,18,1,09/02/2025,176.35,4.2,Debit Card
305,1,118,3234,121,2,18/02/2025,187.48,27.1,Credit Card
307,2,110,2525,19,1,09/02/2025,79.54,7.3,Online
308,2,89,1683,176,1,31/10/2024,117.27,9.6,Credit Card
311,1,58,1855,270,2,19/06/2025,202.15,31.0,Online
312,3,53,3523,361,5,01/12/2024,112.61,11.6,Debit Card
317,1,50,1724,758,3,10/05/2025,193.25,30.3,Cash
318,4,42,1185,1237,3,22/10/2024,272.33,7.9,Debit Card
320,3,115,615,240,4,21/09/2025,26.24,8.0,Debit Card
330,4,42,145,180,4,07/08/2025,47.87,3.3,Credit Card
331,3,14,753,267,2,25/10/2024,299.86,8.4,Cash
334,1,86,2932,57,1,27/09/2025,231.32,29.7,Debit Card
336,2,45,4808,30,1,20/01/2025,119.6,8.4,Cash
344,3,21,1454,224,2,27/11/2024,47.1,11.3,Debit Card
346,4,34,684,152,1,21/04/2025,203.95,7.7,Cash
349,4,70,1149,64,1,04/09/2025,95.09,11.9,Online
352,4,1,4189,274,2,04/06/2025,186.02,8.8,Debit Card
359,2,8,4080,142,2,09/06/2025,7.89,11.7,Debit Card
360,4,34,4939,106,1,16/03/2025,34.17,5.3,Credit Card
361,4,56,656,5,5,15/07/2025,81.35,4.5,Online
369,2,13,4071,167,2,27/03/2025,267.92,5.9,Credit Card
379,2,8,352,185,1,08/01/2025,16.99,4.3,Debit Card
381,3,53,685,81,5,30/05/2025,132.55,6.2,Credit Card
383,2,45,4856,31,2,01/07/2025,157.92,7.4,Cash
389,1,79,4354,98,1,02/10/2025,279.33,28.4,Credit Card
393,4,31,893,27,2,05/11/2025,176.52,5.3,Credit Card
399,1,4,3536,219,1,22/05/2025,211.65,26.2,Debit Card
403,2,8,4199,2,3,30/01/2025,246.88,7.2,Credit Card
406,4,1,1200,1157,2,20/12/2024,68.43,3.3,Debit Card
412,3,46,2617,954,2,04/10/2025,218.73,7.5,Debit Card
418,4,31,1250,1487,1,13/11/2025,116.1,6.8,Online
422,4,31,334,284,2,03/09/2025,277.83,6.7,Credit Card
427,2,45,4906,176,4,18/10/2025,21.02,10.1,Cash
431,2,43,2115,53,1,03/02/2025,32.27,10.8,Debit Card
435,1,3,1083,93,3,08/02/2025,106.7,24.2,Credit Card
436,3,46,4366,143,4,17/05/2025,218.46,10.5,Credit Card
437,4,34,1406,19,1,04/02/2025,44.07,8.8,Credit Card
451,3,115,4030,846,1,20/06/2025,84.15,4.0,Credit Card
453,1,59,3603,173,3,07/08/2025,82.17,24.7,Credit Card
454,2,83,2928,206,4,31/01/2025,201.81,6.8,Debit Card
457,2,89,3724,143,3,25/05/2025,210.5,11.4,Credit Card
460,1,68,4914,747,2,11/10/2025,66.81,23.8,Online
461,4,31,168,1415,1,06/02/2025,45.04,8.6,Credit Card
466,4,42,2076,10,3,24/12/2024,159.48,8.4,Online
469,4,31,3087,203,2,26/10/2024,44.39,8.4,Online
470,4,70,2241,1056,1,30/03/2025,16.22,9.3,Debit Card
471,1,86,4154,729,1,16/07/2025,154.53,22.4,Cash
472,3,21,2636,659,1,07/03/2025,142.19,8.7,Credit Card
473,3,46,3495,191,1,02/01/2025,228.84,8.3,Debit Card
477,4,70,4028,46,4,25/11/2025,228.98,4.6,Credit Card
479,1,58,3283,343,4,17/11/2025,218.74,32.2,Cash
482,2,23,2530,120,1,16/03/2025,270.38,9.6,Credit Card
486,4,31,3830,607,2,15/03/2025,206.85,4.0,Cash
497,4,42,38,98,4,19/05/2025,128.86,4.4,Online
503,3,115,3460,217,5,06/02/2025,126.25,11.6,Credit Card
504,2,103,4602,211,5,21/11/2025,191.63,3.9,Credit Card
505,1,48,3813,138,5,14/10/2025,15.25,33.9,Credit Card
506,1,54,3031,184,3,26/10/2025,40.39,33.4,Cash
507,4,56,2355,1208,3,28/09/2025,200.63,4.1,Cash
509,2,28,3314,44,1,10/11/2025,176.67,7.5,Credit Card
510,3,53,767,1287,2,03/08/2025,239.95,10.9,Cash
511,3,88,2493,136,5,21/08/2025,276.8,5.0,Credit Card
517,4,1,4632,606,1,27/10/2024,216.47,7.2,Debit Card
520,3,53,2032,1416,4,26/12/2024,23.19,10.2,Debit Card
523,2,28,1754,189,3,05/11/2025,281.01,4.3,Debit Card
526,1,68,2777,957,1,18/08/2025,288.77,28.6,Credit Card
527,2,28,3654,190,1,15/06/2025,33.13,3.8,Credit Card
529,2,114,4708,136,2,25/01/2025,236.2,7.3,Online
532,3,53,1896,213,5,10/10/2024,295.58,10.8,Debit Card
536,2,28,1173,212,1,31/05/2025,7.25,9.3,Cash
540,4,34,1514,252,1,29/11/2024,117.88,10.8,Cash
541,1,79,633,83,4,25/08/2025,67.32,23.3,Cash
545,2,43,968,64,1,23/02/2025,230.71,8.4,Credit Card
548,1,54,2982,165,1,21/02/2025,164.75,24.8,Cash
553,3,53,3988,31,3,25/09/2025,41.25,10.8,Credit Card
555,3,115,2209,163,4,23/08/2025,235.74,11.6,Credit Card
565,2,73,3179,66,4,04/02/2025,50.14,11.7,Credit Card
570,3,14,2851,669,5,25/12/2024,119.81,7.0,Cash
578,2,23,1781,495,1,17/06/2025,16.72,11.3,Online
587,1,17,1691,47,1,22/06/2025,255.15,33.1,Cash
591,1,17,340,1477,1,10/03/2025,32.11,25.9,Debit Card
592,1,82,1062,217,2,16/11/2025,117.56,32.2,Cash
593,3,115,2258,1189,3,15/08/2025,189.89,7.0,Cash
594,3,53,1527,68,3,27/10/2025,19.59,8.7,Credit Card
595,2,8,1900,2,1,24/11/2025,59.34,8.9,Online
599,1,50,1393,1442,1,10/11/2025,242.53,33.7,Cash
600,1,68,4178,226,1,31/08/2025,87.34,28.2,Cash
601,2,89,1587,192,5,24/10/2024,256.32,5.1,Debit Card
619,1,98,3225,52,4,21/10/2025,16.69,25.9,Credit Card
620,4,34,3614,592,1,06/10/2024,84.75,11.2,Debit Card
623,4,31,3404,217,1,03/10/2024,144.88,10.4,Debit Card
633,3,88,682,257,1,02/02/2025,134.09,10.4,Debit Card
635,3,14,2994,28,2,16/11/2025,250.45,3.1,Debit Card
636,1,48,3850,52,1,15/10/2025,37.62,25.5,Online
638,1,79,4612,1006,3,18/02/2025,82.36,25.5,Debit Card
639,1,17,1694,27,1,31/08/2025,195.16,23.1,Cash
642,3,53,3943,1120,4,10/07/2025,244.85,5.2,Debit Card
645,3,88,265,888,4,25/11/2024,82.15,5.5,Online
649,1,4,4085,409,2,07/11/2024,196.68,31.3,Credit Card
650,3,88,4882,1482,5,19/10/2024,80.11,4.2,Credit Card
651,1,17,1038,168,5,30/09/2025,19.17,30.1,Debit Card
654,3,14,2516,443,1,18/02/2025,242.08,3.5,Credit Card
664,1,98,2458,273,3,08/07/2025,266.68,26.3,Cash
667,2,26,4493,278,2,21/08/2025,189.89,6.5,Credit Card
669,2,103,2572,1124,1,18/11/2024,14.54,10.0,Credit Card
670,1,29,4069,149,4,29/10/2024,93.16,29.5,Credit Card
680,3,115,1424,234,2,05/10/2025,171.63,8.3,Debit Card
682,4,34,1250,1019,5,18/10/2025,116.1,3.7,Credit Card
683,2,32,594,21,5,29/06/2025,295.43,6.2,Online
688,1,118,932,266,4,07/12/2024,21.25,23.5,Online
701,3,14,2565,84,1,02/10/2025,167.25,3.1,Cash
704,3,21,3531,899,1,18/11/2025,89.26,9.1,Online
705,1,118,2627,1228,2,23/12/2024,179.41,26.6,Credit Card
712,4,1,3002,1107,2,30/03/2025,277.96,8.9,Credit Card
714,3,115,1744,216,5,10/01/2025,214.82,4.4,Cash
715,3,14,41,152,4,24/10/2024,175.14,4.5,Credit Card
717,1,50,1060,163,1,16/03/2025,22.69,30.3,Credit Card
718,4,70,3278,291,1,27/05/2025,102.86,8.0,Debit Card
724,3,46,2973,199,2,09/12/2024,220.39,10.4,Debit Card
727,4,34,4360,184,3,11/12/2024,75.1,7.9,Online
729,4,1,696,940,1,25/12/2024,90.38,11.6,Debit Card
730,4,42,122,483,3,06/11/2024,86.98,4.8,Cash
734,3,88,3989,241,1,16/11/2025,160.8,6.5,Credit Card
735,2,11,735,215,1,30/10/2024,114.09,9.7,Online
739,4,34,4098,1072,5,11/05/2025,155.98,6.4,Cash
744,2,10,12,235,1,09/10/2024,18.71,8.7,Debit Card
745,3,46,1037,216,2,23/05/2025,108.58,6.7,Debit Card
747,2,28,4397,138,2,02/03/2025,171.56,3.5,Credit Card
749,2,103,4201,110,1,03/12/2024,155.8,9.8,Credit Card
752,2,43,3411,172,2,27/10/2024,47.45,8.5,Online
753,2,69,2078,684,2,03/02/2025,213.58,3.6,Debit Card
755,3,14,2670,258,1,05/12/2024,32.11,9.8,Credit Card
756,3,115,3666,827,2,25/01/2025,13.37,5.5,Cash
759,4,56,263,50,1,17/03/2025,169.82,7.1,Credit Card
765,3,14,3715,126,5,01/08/2025,113.52,10.2,Cash
768,4,56,248,161,1,03/12/2024,119.59,7.2,Cash
769,3,14,4944,978,1,22/11/2025,57.99,8.8,Credit Card
771,4,31,1356,304,2,03/12/2024,269.39,3.8,Debit Card
776,1,29,4391,291,3,18/04/2025,186.99,26.7,Debit Card
777,1,50,1670,25,1,13/10/2025,139.51,23.8,Online
778,2,10,1788,286,1,13/06/2025,142.02,9.7,Online
781,2,73,234,209,2,18/02/2025,124.59,3.2,Cash
783,4,70,371,186,4,16/12/2024,14.91,3.0,Cash
784,1,29,1731,46,2,05/08/2025,139.63,32.7,Debit Card
791,4,34,2689,458,1,07/11/2025,19.82,4.5,Credit Card
793,2,89,4574,27,4,23/02/2025,53.24,3.6,Cash
799,3,53,3557,1028,5,28/02/2025,48.26,8.0,Credit Card
800,4,1,74,1497,5,15/11/2024,142.51,11.1,Online
802,1,82,892,239,1,12/02/2025,266.8,32.6,Debit Card
803,1,59,727,617,1,26/12/2024,274.11,27.2,Cash
808,4,34,4431,140,2,26/02/2025,109.27,9.2,Cash
816,4,56,4083,711,5,09/10/2024,253.63,10.8,Cash
820,3,88,2375,348,1,30/11/2024,46.41,10.9,Debit Card
823,2,110,4273,983,2,06/07/2025,102.84,5.0,Online
828,4,1,2858,147,2,17/08/2025,246.65,10.4,Cash
834,2,45,2309,1033,5,20/03/2025,82.6,7.8,Cash
847,2,35,2495,926,4,13/08/2025,67.6,7.8,Credit Card
849,3,46,3635,180,2,01/08/2025,147.65,6.1,Credit Card
857,3,46,832,87,2,23/12/2024,258.16,5.3,Credit Card
859,4,42,1457,232,1,24/02/2025,292.08,8.0,Cash
860,4,34,2906,26,5,21/03/2025,103.08,5.4,Debit Card
863,4,1,92,229,3,30/08/2025,21.16,7.7,Credit Card
867,3,88,2422,187,1,12/02/2025,166.87,5.9,Cash
868,4,1,275,921,1,08/02/2025,183.25,5.5,Cash
869,1,82,520,15,1,24/09/2025,263.49,26.3,Debit Card
870,1,48,1638,279,4,11/06/2025,248.76,22.2,Credit Card
872,1,118,3115,101,2,14/06/2025,258.79,32.6,Cash
875,3,115,1038,1046,1,11/10/2024,19.17,6.1,Debit Card
879,2,114,1737,115,2,01/12/2025,139.8,3.9,Credit Card
884,1,68,1739,2,1,11/07/2025,41.69,22.5,Cash
885,3,53,3954,1436,1,30/08/2025,87.13,5.3,Debit Card
889,3,88,4866,312,2,29/10/2024,26.76,6.4,Cash
892,4,34,1306,846,1,23/11/2025,235.49,5.6,Online
894,3,14,1812,16,2,14/06/2025,88.98,4.8,Debit Card
897,3,115,201,91,4,22/10/2025,276.76,5.6,Cash
898,4,1,4783,974,2,31/10/2024,223.56,6.1,Debit Card
902,3,115,2113,79,4,18/12/2024,240.65,8.9,Credit Card
907,3,53,3300,762,1,01/09/2025,196.06,10.0,Credit Card
908,2,110,822,279,1,13/01/2025,63.74,7.0,Debit Card
909,3,53,1506,239,1,02/01/2025,25.05,4.8,Cash
913,3,115,349,222,4,31/08/2025,263.46,10.3,Cash
918,2,26,347,458,1,18/11/2025,115.92,11.9,Debit Card
921,4,34,4693,675,1,11/04/2025,180.56,11.9,Online
924,1,3,3796,138,5,04/04/2025,5.32,27.4,Credit Card
925,1,79,3068,133,1,18/02/2025,155.28,28.4,Credit Card
926,4,34,3448,100,2,23/06/2025,112.32,6.7,Online
928,3,14,3510,33,2,04/05/2025,166.1,3.9,Credit Card
929,1,29,2112,39,1,01/07/2025,194.57,23.6,Credit Card
930,4,31,4806,1059,2,26/12/2024,220.47,11.5,Credit Card
935,1,3,578,444,5,21/03/2025,254.27,22.2,Credit Card
936,4,31,2926,184,2,14/08/2025,97.37,9.6,Credit Card
946,4,34,4553,34,1,09/02/2025,56.22,8.7,Debit Card
947,3,115,3719,83,2,01/10/2024,155.4,6.0,Debit Card
948,3,21,2145,278,2,21/10/2024,113.59,8.5,Online
949,3,88,2091,1274,1,27/10/2025,140.78,10.8,Cash
956,4,34,4573,136,2,18/04/2025,110.3,5.0,Debit Card
959,1,54,2265,351,2,09/01/2025,34.54,29.0,Debit Card
964,1,98,3086,453,1,16/01/2025,85.65,32.4,Credit Card
965,3,88,1774,1432,2,17/05/2025,279.55,8.4,Online
968,4,56,1176,331,1,28/11/2024,212.09,4.3,Debit Card
974,1,29,4311,958,2,12/10/2025,76.57,23.7,Debit Card
976,2,23,169,2,1,19/11/2024,41.76,7.7,Credit Card
978,2,103,4917,1324,1,27/01/2025,135.63,3.3,Credit Card
979,2,83,2805,774,1,21/03/2025,81.55,6.8,Credit Card
991,1,82,1462,175,1,29/06/2025,270.38,31.0,Debit Card
992,4,31,4622,716,1,25/06/2025,39.36,11.1,Debit Card
994,2,11,4495,432,5,03/10/2025,68.61,8.3,Debit Card
996,2,110,4632,1038,5,18/07/2025,216.47,4.9,Debit Card
997,1,68,1777,95,1,30/03/2025,28.63,27.2,Credit Card
999,2,23,3960,980,2,22/08/2025,115.54,10.5,Online
1001,2,23,737,1486,4,05/03/2025,67.56,11.8,Online
1006,2,32,2930,103,2,01/03/2025,71.49,9.3,Online
1007,2,103,1783,43,4,25/02/2025,33.94,4.5,Debit Card
1010,4,42,2109,987,1,13/05/2025,175.51,9.7,Cash
1012,4,1,3180,262,3,11/09/2025,289.25,6.9,Online
1013,2,83,417,212,2,21/07/2025,247.42,6.1,Debit Card
1014,4,31,3159,1275,2,29/11/2024,138.56,5.5,Debit Card
1018,4,1,1077,620,2,11/08/2025,216.86,9.8,Credit Card
1024,3,21,925,1495,2,17/05/2025,99.03,11.7,Credit Card
1027,3,115,4142,46,1,19/09/2025,120.04,4.6,Cash
1029,4,1,602,1479,1,04/10/2025,209.93,10.2,Cash
1031,1,79,4702,1342,2,28/10/2024,231.73,27.2,Credit Card
1032,4,70,2210,73,2,20/05/2025,89.1,3.2,Cash
1037,2,43,2014,144,4,02/05/2025,131.51,5.2,Cash
1038,2,43,983,310,5,19/08/2025,85.69,6.3,Debit Card
1039,3,53,4924,114,2,22/05/2025,38.7,9.7,Online
1040,4,1,4184,783,1,14/03/2025,189.32,4.6,Debit Card
1048,3,46,2836,1457,5,07/10/2024,86.11,8.2,Credit Card
1050,1,86,1187,1,5,27/11/2025,128.11,30.2,Credit Card
1051,4,42,4936,171,2,07/12/2024,118.92,5.2,Credit Card
1056,2,89,473,813,1,02/10/2024,185.37,5.2,Credit Card
1068,4,42,1672,229,5,20/11/2025,91.72,3.8,Credit Card
1072,4,34,2805,93,4,06/07/2025,81.55,5.9,Debit Card
1073,2,43,2862,262,1,01/07/2025,189.51,11.6,Credit Card
1076,4,1,2111,21,1,31/10/2024,27.97,8.8,Debit Card
1077,3,21,4830,923,3,12/08/2025,275.48,5.1,Cash
1082,2,23,280,183,5,27/09/2025,243.21,3.0,Credit Card
1085,4,56,2785,1267,4,01/07/2025,255.81,4.8,Online
1088,1,58,2721,251,4,10/01/2025,185.47,31.6,Credit Card
1089,2,69,4824,299,4,09/04/2025,18.11,9.6,Credit Card
1090,4,34,4353,196,2,14/07/2025,51.2,3.2,Cash
1096,2,13,2764,226,1,12/06/2025,171.15,7.4,Debit Card
1097,2,23,3377,288,2,19/12/2024,84.67,3.1,Credit Card
1100,2,28,1517,1488,2,04/07/2025,36.02,10.3,Cash
1101,3,21,875,103,4,18/11/2025,105.46,6.2,Cash
1110,3,46,148,226,1,28/02/2025,216.85,10.1,Credit Card
1119,4,31,3309,1244,4,19/11/2025,57.51,11.3,Online
1120,2,28,2295,649,2,08/02/2025,200.47,8.3,Online
1123,4,70,3033,162,2,19/11/2024,35.16,11.2,Debit Card
1124,1,29,3414,415,5,18/01/2025,126.68,27.7,Cash
1125,2,45,139,1411,4,10/12/2024,94.15,7.1,Online
1127,2,69,951,196,4,21/10/2024,99.01,10.9,Credit Card
1129,2,69,2675,235,4,01/01/2025,33.31,4.1,Debit Card
1133,3,21,3682,299,5,21/07/2025,42.37,7.6,Online
1134,2,73,2082,217,2,16/07/2025,200.67,4.3,Credit Card
1137,2,32,3544,119,1,25/06/2025,250.91,11.6,Online
1139,3,46,2839,34,2,08/09/2025,148.86,3.6,Online
1141,3,46,1810,189,1,14/01/2025,199.71,7.1,Online
1145,2,110,4310,1217,1,09/02/2025,26.38,4.8,Cash
1146,1,79,1097,135,3,26/10/2025,232.12,28.1,Credit Card
1147,3,46,1911,467,2,06/09/2025,137.17,7.7,Credit Card
1150,3,21,4112,14,2,29/08/2025,76.06,11.3,Credit Card
1151,3,21,1179,889,4,22/12/2024,246.97,4.2,Credit Card
1155,4,70,4365,44,1,08/10/2024,191.97,6.7,Debit Card
1156,1,82,4307,111,2,21/01/2025,293.29,22.6,Debit Card
1162,1,4,197,1229,2,21/02/2025,29.22,30.5,Credit Card
1166,3,88,2011,134,1,16/11/2025,183.7,9.8,Debit Card
1172,1,48,4541,8,1,27/07/2025,187.04,31.3,Debit Card
1176,2,35,3095,254,2,18/07/2025,108.63,6.3,Credit Card
1179,1,79,4677,1496,1,05/11/2025,144.65,22.3,Debit Card
1180,2,11,304,41,5,09/07/2025,249.64,6.6,Debit Card
1182,2,43,1796,582,4,20/04/2025,247.45,11.3,Debit Card
1183,4,56,1803,258,1,03/11/2024,190.95,3.6,Cash
1185,3,14,270,825,2,09/03/2025,93.26,10.5,Cash
1187,3,21,1124,237,4,10/06/2025,71.54,11.8,Cash
1194,4,42,3250,12,1,24/03/2025,84.92,5.3,Credit Card
1197,4,34,651,1134,4,13/03/2025,181.8,4.1,Credit Card
1199,1,59,4051,292,2,12/10/2024,201.34,26.9,Credit Card
1201,4,70,4928,1251,2,05/01/2025,92.25,7.8,Online
1206,1,54,1068,43,4,01/05/2025,39.25,25.4,Cash
1210,1,118,581,1458,1,13/03/2025,13.68,31.2,Cash
1212,1,3,271,129,2,24/09/2025,243.73,30.1,Debit Card
1216,2,73,2255,81,4,22/12/2024,103.03,10.7,Debit Card
1217,2,103,1851,14,2,13/05/2025,200.1,9.7,Debit Card
1221,1,48,4556,495,1,04/05/2025,79.39,30.4,Cash
1230,2,8,2579,191,2,20/02/2025,49.74,3.3,Debit Card
1233,1,50,836,864,3,12/03/2025,63.49,32.5,Debit Card
1237,4,34,3352,288,1,29/08/2025,62.44,10.4,Credit Card
1238,1,29,4391,58,4,30/03/2025,186.99,25.0,Cash
1240,1,68,617,261,1,09/09/2025,65.23,22.1,Debit Card
1247,4,70,4483,518,3,02/05/2025,59.72,7.2,Debit Card
1248,4,31,257,842,1,15/02/2025,36.87,5.3,Credit Card
1249,1,50,1677,1441,1,15/11/2024,262.25,30.5,Credit Card
1251,2,8,3390,1287,1,02/02/2025,156.31,6.1,Credit Card
1258,1,58,1171,621,2,16/02/2025,117.61,22.0,Credit Card
1261,2,89,1417,231,1,16/07/2025,232.01,4.5,Debit Card
1263,3,115,1710,43,2,21/05/2025,55.37,10.0,Cash
1270,1,54,4332,161,2,03/11/2025,119.85,25.2,Debit Card
1271,4,56,1810,1,1,26/03/2025,199.71,4.8,Online
1273,1,98,366,36,1,12/08/2025,84.21,30.0,Credit Card
1275,3,53,243,124,3,04/12/2025,73.99,9.7,Credit Card
1281,3,53,2649,175,1,25/02/2025,120.1,10.4,Cash
1282,2,114,1445,313,2,18/11/2024,262.56,5.4,Credit Card
1285,1,59,3168,79,3,13/06/2025,64.23,29.1,Credit Card
1289,4,42,143,297,5,22/11/2024,131.05,5.3,Credit Card
1294,4,70,2485,48,2,12/10/2024,236.61,11.7,Debit Card
1298,1,4,4904,42,2,29/08/2025,42.62,32.9,Cash
1301,4,70,994,1263,1,06/01/2025,180.86,7.8,Debit Card
1303,2,83,4450,287,3,19/11/2025,108.59,4.3,Credit Card
1306,3,53,4718,868,3,27/05/2025,121.19,5.7,Cash
1320,4,31,457,1495,4,30/09/2025,70.94,9.9,Credit Card
1324,3,88,2650,540,2,09/10/2024,208.55,12.0,Cash
1327,4,42,3245,71,4,13/10/2025,34.71,5.7,Credit Card
