sale_id,store_id,employee_id,product_id,customer_id,quantity,sale_date,unit_price,discount_pct,payment_method,notes
445,12,36,3892,259,4,2025-02-03,251.04,8.2,Credit Card,
446,10,90,3175,58,1,2025-06-08,280.19,22.9,Credit Card,
447,9,2,4368,154,1,2025-11-05,28.62,10.5,Credit Card,Promo code SEASON25 applied at checkout
448,12,60,3843,116,1,2024-10-19,144.84,9.7,Credit Card,
449,12,18,2821,7,3,2025-06-01,125.34,7.6,Debit Card,
452,11,12,4216,260,3,2024-12-05,289.68,26.2,Cash,Promo code SAVE10 applied at checkout
456,12,18,1481,1405,1,2025-09-25,229.95,10.8,Debit Card,Promo code WELCOME15 applied at checkout
458,12,100,4651,38,1,2025-12-03,43.36,11.4,Debit Card,
459,9,111,2791,283,1,2025-05-03,197.03,6.2,Online,
463,11,64,419,93,1,2025-03-16,191.86,29.3,Cash,
464,12,102,1465,196,4,2024-10-08,268.5,6.8,Cash,Loyalty tier discount applied
467,12,100,2147,197,2,2025-08-02,212.85,11.2,Cash,
468,12,102,527,899,1,2025-08-07,79.46,5.2,Credit Card,
481,9,25,1681,96,1,2025-03-29,84.02,6.0,Debit Card,
483,9,65,1345,193,2,2025-08-21,221.7,5.7,Cash,Promo code SAVE10 applied at checkout
487,10,87,2941,90,1,2025-01-28,70.88,31.0,Credit Card,Price matched to competitor flyer
489,12,100,1653,1201,3,2025-11-03,37.01,10.1,Cash,Price matched to competitor flyer
493,10,71,3274,1283,4,2025-07-18,69.63,31.1,Debit Card,
494,12,36,2126,213,1,2025-11-29,94.22,6.3,Credit Card,
496,10,67,1233,131,5,2025-02-02,49.76,30.9,Credit Card,Promo code WELCOME15 applied at checkout
498,11,97,2916,114,1,2025-02-02,294.51,25.3,Cash,
500,10,15,4150,69,2,2024-11-14,7.93,23.5,Credit Card,Promo code SEASON25 applied at checkout
502,11,97,2293,192,3,2024-12-30,237.48,33.9,Credit Card,Loyalty tier discount applied
508,10,55,2061,19,1,2025-04-08,195.06,30.1,Online,
514,11,12,2431,52,2,2025-01-22,75.15,27.6,Credit Card,
516,9,25,1085,82,1,2025-08-06,150.47,5.6,Debit Card,
518,12,102,217,117,4,2025-12-02,41.95,7.6,Cash,
519,10,16,4375,547,5,2025-08-31,162.5,24.4,Credit Card,Promo code LOYALTY20 applied at checkout
524,9,6,2365,192,1,2025-05-10,189.98,4.6,Credit Card,Promo code LOYALTY20 applied at checkout
528,11,12,892,654,1,2025-09-18,266.8,25.6,Online,Loyalty tier discount applied
531,11,81,2274,1161,4,2025-07-03,289.27,24.3,Cash,Price matched to competitor flyer
534,10,67,1040,157,5,2025-07-30,68.88,31.2,Credit Card,Loyalty tier discount applied
537,9,37,2691,1132,1,2025-03-16,29.56,4.2,Credit Card,
538,9,6,4545,151,4,2024-12-01,181.72,9.7,Online,Promo code LOYALTY20 applied at checkout
543,9,6,2466,546,1,2025-07-15,202.69,6.6,Credit Card,
547,10,75,2164,267,1,2024-10-02,254.89,31.3,Online,
551,9,51,1177,152,2,2024-11-23,282.63,8.3,Credit Card,
552,10,15,4011,267,1,2025-04-02,282.24,22.0,Debit Card,Promo code SEASON25 applied at checkout
557,11,63,295,1425,2,2025-08-29,10.74,24.0,Debit Card,
560,11,64,4302,186,4,2025-01-09,127.35,32.2,Debit Card,
561,12,108,3070,618,3,2025-09-12,212.83,4.5,Debit Card,Price matched to competitor flyer
562,12,108,4881,232,2,2024-10-20,59.74,3.4,Online,Promo code SEASON25 applied at checkout
566,9,6,321,1343,2,2025-01-06,35.32,3.8,Online,Promo code LOYALTY20 applied at checkout
571,9,27,4883,267,4,2025-07-09,85.83,3.3,Credit Card,Price matched to competitor flyer
572,10,101,2211,108,1,2025-05-30,65.67,28.2,Credit Card,
573,11,12,1878,4,5,2024-11-30,217.15,31.2,Cash,Price matched to competitor flyer
576,12,60,1802,186,3,2024-10-05,167.81,5.3,Debit Card,
577,12,36,147,267,4,2025-03-07,280.48,11.3,Online,
583,10,101,1841,77,2,2025-07-11,218.14,25.6,Debit Card,Promo code SEASON25 applied at checkout
584,9,52,4168,572,5,2025-11-03,291.62,11.7,Online,
588,10,67,1779,142,2,2024-12-05,287.83,32.8,Credit Card,Promo code LOYALTY20 applied at checkout
589,9,51,4733,95,5,2024-10-23,55.86,7.8,Credit Card,Loyalty tier discount applied
596,11,81,1398,285,2,2025-01-31,293.88,24.9,Cash,Loyalty tier discount applied
603,9,2,2139,25,4,2025-09-12,98.72,7.6,Debit Card,
604,9,2,4168,164,1,2024-12-24,291.62,6.3,Credit Card,Loyalty tier discount applied
605,9,65,1033,222,4,2025-04-27,169.38,9.9,Debit Card,Promo code WELCOME15 applied at checkout
606,10,16,684,44,4,2025-04-04,203.95,28.6,Online,
607,11,97,8,259,2,2024-11-04,275.57,22.2,Credit Card,Promo code SAVE10 applied at checkout
609,11,63,2073,219,1,2025-11-14,232.48,31.0,Debit Card,
610,12,108,4935,559,5,2025-07-29,264.19,5.9,Debit Card,
612,12,100,2928,1386,1,2025-05-01,201.81,3.8,Credit Card,
613,10,38,3985,262,2,2025-06-05,123.22,24.9,Debit Card,Price matched to competitor flyer
614,10,117,4989,1017,4,2025-02-16,171.02,24.1,Credit Card,Loyalty tier discount applied
615,11,81,4280,160,5,2025-07-07,149.75,26.5,Credit Card,Loyalty tier discount applied
621,10,75,4541,234,1,2025-07-08,187.04,23.7,Credit Card,
626,11,97,4159,20,3,2025-07-31,151.01,31.5,Debit Card,
627,11,63,3423,224,4,2024-11-24,215.72,30.7,Credit Card,
632,12,100,1371,1179,2,2025-01-27,281.52,11.9,Debit Card,Price matched to competitor flyer
634,12,60,3592,513,5,2025-11-13,276.39,11.9,Debit Card,Promo code WELCOME15 applied at checkout
637,10,39,2571,282,1,2025-11-23,115.75,28.0,Credit Card,Promo code WELCOME15 applied at checkout
640,10,75,1408,1451,3,2025-10-04,200.96,26.8,Credit Card,Loyalty tier discount applied
641,11,44,1061,1157,1,2025-08-12,174.31,26.4,Cash,
644,9,24,3473,204,3,2025-06-19,299.63,3.5,Debit Card,Promo code SEASON25 applied at checkout
647,11,97,4614,173,1,2025-03-19,265.59,32.7,Online,Loyalty tier discount applied
648,10,67,749,1133,1,2025-05-13,145.37,29.9,Debit Card,Promo code LOYALTY20 applied at checkout
652,10,75,72,431,1,2025-05-02,18.91,25.3,Debit Card,Loyalty tier discount applied
653,9,52,4028,213,4,2025-09-24,228.98,4.2,Debit Card,Promo code LOYALTY20 applied at checkout
655,10,55,3967,130,5,2024-12-07,263.36,31.8,Online,Promo code SEASON25 applied at checkout
656,10,38,3319,192,2,2025-06-19,158.5,30.2,Cash,Loyalty tier discount applied
658,11,64,4149,145,5,2025-01-02,169.99,23.2,Credit Card,
659,10,38,2097,363,2,2025-05-05,96.84,27.4,Credit Card,
660,10,16,3970,1256,1,2024-10-15,19.72,22.4,Credit Card,
662,9,2,4731,586,3,2024-10-21,294.77,6.5,Debit Card,Loyalty tier discount applied
671,9,6,1727,247,3,2025-03-19,254.25,5.9,Cash,Promo code LOYALTY20 applied at checkout
672,10,33,3055,107,4,2025-07-05,148.57,28.2,Credit Card,Promo code SEASON25 applied at checkout
673,10,33,1667,247,5,2025-06-08,292.31,27.7,Credit Card,Price matched to competitor flyer
676,10,33,2894,262,3,2024-10-28,6.22,24.4,Credit Card,
679,10,15,221,205,3,2024-11-22,229.43,23.3,Debit Card,
681,12,100,3405,315,1,2025-10-18,26.44,11.5,Credit Card,Price matched to competitor flyer
685,11,97,2601,42,2,2025-01-27,227.75,26.9,Cash,
686,10,39,231,173,2,2025-09-18,95.88,27.1,Credit Card,
687,11,63,4286,169,4,2024-11-08,115.74,30.7,Debit Card,
691,12,102,4114,122,4,2025-02-16,78.34,8.6,Debit Card,
692,11,12,733,1456,5,2025-06-23,247.78,26.1,Debit Card,Price matched to competitor flyer
694,10,15,4407,917,1,2025-08-23,166.48,26.2,Credit Card,
695,9,65,4189,210,1,2025-11-02,186.02,9.9,Online,
697,11,64,4204,32,2,2025-04-05,83.16,27.1,Credit Card,
698,9,25,2677,63,3,2025-10-25,37.87,10.7,Cash,
700,11,12,4440,426,1,2025-01-24,87.49,23.5,Online,Promo code LOYALTY20 applied at checkout
702,11,12,4439,168,3,2024-10-18,245.69,30.0,Debit Card,
703,12,100,2700,89,1,2024-11-02,23.64,7.8,Cash,Loyalty tier discount applied
706,10,55,2776,1052,2,2025-09-28,223.15,28.5,Debit Card,
708,11,63,1759,159,4,2025-04-03,227.66,23.1,Debit Card,Price matched to competitor flyer
709,12,100,1288,413,2,2025-09-02,202.49,10.5,Credit Card,Promo code SEASON25 applied at checkout
713,12,102,4133,39,1,2025-02-23,194.37,4.0,Credit Card,Loyalty tier discount applied
716,9,106,2504,1341,2,2025-07-01,26.2,3.4,Cash,
719,9,6,1100,5,3,2025-04-25,111.58,3.5,Cash,
720,9,61,4699,1010,2,2025-11-24,267.47,5.6,Online,Price matched to competitor flyer
721,10,38,2835,15,2,2024-12-29,215.25,29.8,Debit Card,Price matched to competitor flyer
722,9,61,310,285,5,2025-11-20,78.93,4.8,Online,Price matched to competitor flyer
723,12,60,4429,723,3,2025-04-30,68.11,4.8,Online,
726,11,97,2883,1203,1,2025-02-04,106.9,27.2,Debit Card,Promo code SEASON25 applied at checkout
728,10,39,4285,234,1,2025-07-22,163.28,27.6,Online,
732,12,102,4743,271,1,2025-03-11,133.16,11.2,Credit Card,
737,9,27,1955,900,4,2024-11-10,211.11,9.5,Cash,
741,12,36,2403,623,1,2025-06-08,221.44,8.1,Credit Card,Promo code SEASON25 applied at checkout
742,12,18,3152,363,1,2025-06-21,208.28,8.0,Debit Card,Promo code WELCOME15 applied at checkout
743,12,18,2762,74,5,2025-01-09,54.22,4.8,Credit Card,
746,10,15,4463,704,4,2025-09-19,226.86,25.3,Credit Card,Promo code LOYALTY20 applied at checkout
750,10,16,3654,242,3,2025-06-16,33.13,25.6,Online,Promo code SAVE10 applied at checkout
754,10,71,3109,168,1,2024-12-13,273.51,33.3,Debit Card,
758,10,67,580,1028,2,2024-11-28,170.29,22.1,Cash,Loyalty tier discount applied
760,9,120,2672,1065,2,2025-07-07,5.85,10.9,Credit Card,
761,10,67,4178,74,4,2025-02-28,87.34,28.6,Cash,Price matched to competitor flyer
764,10,55,46,73,2,2025-08-05,117.58,25.7,Credit Card,Price matched to competitor flyer
766,11,81,931,168,1,2025-04-12,129.82,26.2,Online,
767,9,24,1783,919,1,2024-11-30,33.94,6.0,Cash,
770,9,2,3227,103,4,2025-07-10,95.93,7.5,Credit Card,
773,11,81,4149,21,1,2025-08-12,169.99,28.3,Credit Card,Promo code SAVE10 applied at checkout
774,12,60,1219,1226,3,2025-07-18,127.72,10.6,Debit Card,
779,10,33,3214,346,5,2025-02-01,228.52,24.7,Online,
780,11,12,1520,923,2,2024-12-10,143.79,22.4,Debit Card,Price matched to competitor flyer
782,11,12,4624,1248,3,2025-01-23,94.8,26.5,Credit Card,Price matched to competitor flyer
785,10,90,643,194,4,2024-10-17,224.52,27.9,Cash,Promo code SAVE10 applied at checkout
786,11,44,32,154,3,2025-04-03,119.5,28.6,Credit Card,Price matched to competitor flyer
790,9,52,2442,1159,2,2025-10-10,83.55,10.5,Debit Card,Price matched to competitor flyer
795,10,87,4779,205,1,2025-09-05,62.09,27.3,Debit Card,
796,12,100,534,184,5,2025-03-02,209.14,7.6,Debit Card,
804,12,60,4502,256,1,2025-08-14,212.6,4.8,Credit Card,
807,11,63,2710,1178,5,2025-05-01,99.7,31.0,Online,
812,10,67,231,260,2,2025-01-09,95.88,31.0,Debit Card,
818,10,15,3151,757,5,2025-05-19,152.27,28.0,Credit Card,
830,11,97,1144,71,3,2025-07-24,97.39,29.9,Credit Card,
831,10,90,4268,144,1,2024-10-03,106.32,27.2,Debit Card,
832,10,16,4015,425,2,2025-02-03,242.21,31.0,Cash,
835,10,90,2788,71,4,2025-01-28,127.94,32.3,Debit Card,
837,10,38,2381,38,3,2025-04-12,217.81,32.7,Cash,
838,9,37,1509,731,5,2025-01-04,29.2,7.4,Debit Card,
840,12,108,3867,1210,5,2025-03-24,143.03,4.3,Online,
843,11,64,889,7,3,2025-06-10,88.92,23.2,Debit Card,Promo code LOYALTY20 applied at checkout
844,10,75,1647,709,2,2025-02-20,237.8,26.0,Online,Price matched to competitor flyer
845,12,18,2982,17,1,2025-07-28,164.75,11.6,Debit Card,
846,10,67,1720,682,5,2025-04-19,132.04,25.5,Credit Card,Promo code SEASON25 applied at checkout
848,10,101,454,1187,2,2025-11-08,176.48,32.2,Cash,
850,12,36,2782,272,3,2025-07-10,197.78,6.0,Cash,
851,9,106,2363,701,2,2025-05-22,261.85,6.1,Credit Card,
853,11,12,2896,849,2,2025-06-22,219.93,29.7,Credit Card,Price matched to competitor flyer
855,11,64,3977,1193,5,2025-08-03,68.63,26.8,Cash,Promo code LOYALTY20 applied at checkout
856,9,51,503,451,3,2025-11-26,283.11,8.4,Credit Card,
873,9,52,410,187,1,2024-10-15,123.62,6.6,Online,
874,12,36,1999,94,4,2025-12-02,209.16,3.8,Debit Card,
876,10,16,1917,1111,1,2025-10-20,46.18,31.6,Credit Card,Loyalty tier discount applied
877,9,120,1794,77,4,2025-06-16,232.73,5.3,Cash,Loyalty tier discount applied
880,9,52,2232,7,2,2025-02-11,132.35,11.4,Credit Card,Promo code WELCOME15 applied at checkout
882,11,12,4885,260,4,2025-01-17,194.55,27.4,Debit Card,
890,12,36,4237,741,2,2025-10-24,199.43,5.9,Credit Card,
891,11,44,2436,911,1,2025-09-29,275.21,32.7,Debit Card,Price matched to competitor flyer
896,11,44,4800,58,1,2025-06-20,158.83,25.5,Credit Card,
899,11,12,2601,51,1,2025-10-22,227.75,26.3,Credit Card,Promo code SEASON25 applied at checkout
903,9,120,1353,477,1,2025-06-10,279.53,4.6,Credit Card,
906,9,24,2216,132,4,2025-09-20,263.8,4.4,Cash,Price matched to competitor flyer
914,10,101,215,244,1,2025-03-19,120.02,32.7,Cash,
915,9,61,687,38,1,2025-05-30,71.05,11.3,Cash,
919,10,75,731,180,3,2025-06-09,165.37,28.8,Cash,Loyalty tier discount applied
920,10,87,3735,164,3,2024-12-08,16.23,27.7,Cash,Promo code LOYALTY20 applied at checkout
931,11,63,3829,140,1,2025-01-13,21.98,25.2,Cash,
933,12,93,1010,249,1,2025-01-15,63.25,7.3,Credit Card,
938,12,36,3028,89,2,2025-08-31,82.38,11.3,Debit Card,
939,10,67,2684,180,2,2025-03-01,248.46,33.0,Debit Card,
942,9,37,1480,1298,1,2025-06-10,202.12,8.7,Cash,Loyalty tier discount applied
945,10,55,4554,269,5,2025-07-15,125.08,32.7,Credit Card,
950,10,101,881,98,1,2025-07-29,240.45,29.4,Credit Card,Price matched to competitor flyer
953,12,108,3211,1361,1,2025-11-10,157.98,6.1,Credit Card,Promo code SEASON25 applied at checkout
954,12,36,4591,707,1,2025-04-24,8.55,8.0,Debit Card,Promo code SEASON25 applied at checkout
955,12,108,2288,167,1,2025-03-05,10.71,6.8,Debit Card,Promo code SEASON25 applied at checkout
957,10,90,1275,260,5,2024-12-03,77.38,26.8,Credit Card,
958,12,60,2011,191,2,2025-11-28,183.7,7.4,Credit Card,
961,12,93,2152,17,1,2024-11-24,204.48,11.2,Debit Card,
963,10,55,3470,68,2,2025-08-12,223.12,27.3,Online,Promo code SEASON25 applied at checkout
966,10,15,2935,227,1,2024-11-10,17.77,28.9,Credit Card,
970,9,61,4142,768,1,2025-07-16,120.04,8.0,Debit Card,
971,10,75,2509,630,3,2025-09-30,23.74,31.4,Credit Card,
